"","IND_SSKIN","IND_FAT","IND_BRAIN","IND_CO","IND_KIDNEY","IND_GONAD","IND_LIVER","IND_HCT","IND_HEART","IND_MUSCLE","IND_INTESTINE","IND_STOMACH","IND_LUNG","IND_VSKIN","IND_MARR","IND_PANCREAS","IND_SPLEEN","Result_Hair","Result_Liver","Result_Brain","Result_Kidney","Result_Urine","Final_urine","Final"
"229","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707607810612772,0.695899208578121,0.885068888794737,0.937248578207903,116.144087135616,23.8739823243619,0.806456121548383
"230","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708058828270022,0.695700462220002,0.884573423437901,0.937514870681526,116.129459561902,23.8710614293023,0.806461896152363
"231","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707690690773525,0.695845123591751,0.88443249976188,0.937283189655107,116.113073439303,23.8676649886171,0.806312875945566
"232","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707611231628025,0.695912237923881,0.885043994929639,0.937241528011863,116.143378832576,23.8738375650139,0.806452248123352
"233","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708062245791954,0.695713496826244,0.884548552120546,0.937507819812821,116.12875140024,23.8709167029583,0.806458028637891
"234","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707694111150785,0.69585815799213,0.884407626125021,0.937276141106205,116.112365579011,23.867520323077,0.806309009093535
"235","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707634166182318,0.695891240265609,0.88510769482967,0.937262489871657,116.143409795836,23.873861077397,0.806473897787313
"236","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708083631805049,0.695692896675133,0.884611838545007,0.937528308078634,116.12875835051,23.8709350051227,0.806479168775956
"237","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707716555335284,0.69583703558658,0.884472014818272,0.937296977316063,116.112421225678,23.8675487617468,0.80633064576405
"238","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707634314928843,0.695892923273182,0.885109396710621,0.937261920221238,116.143389550733,23.8738576211733,0.806474638783471
"239","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708083779122233,0.695694580482909,0.884613548261312,0.937527741533442,116.128738165532,23.8709315629864,0.806479912349974
"240","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707716702785305,0.695838719433806,0.884473723728403,0.937296409042733,116.112401009826,23.8675453129633,0.806331388747562
"241","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707637735073182,0.695905939599819,0.885084524245266,0.937254872263047,116.142681216355,23.8737128575073,0.806470767795328
"242","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708087195836708,0.695707602104754,0.884588698366376,0.937520692932321,116.128029974297,23.8707868327075,0.80647604731004
"243","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707720122282865,0.69585174080056,0.884448871424693,0.937289362738277,116.111693116933,23.8674006428358,0.806327524311599
"244","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707634232833408,0.695889506808938,0.885097220672129,0.93726167369589,116.143666015817,23.8739097299656,0.806470658502591
"245","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708084065718713,0.695691238403263,0.884601603432831,0.937527435649292,116.128993578041,23.8709795842491,0.806476085801025
"246","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707716762838219,0.695835366762677,0.884461644587454,0.937296122094163,116.112665296846,23.8675950386256,0.806327474070628
"247","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707634381597249,0.695891189987757,0.885098922158933,0.937261104023024,116.143645770081,23.8739062735697,0.806471399441741
"248","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708084213050855,0.695692922381148,0.884603312756617,0.937526869081159,116.128973392474,23.8709761419488,0.806476829317445
"249","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707716910303453,0.695837050781063,0.88446335309814,0.937295553796698,116.112645080137,23.8675915896234,0.806328216994839
"250","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707637801727819,0.695904207127831,0.885074047638609,0.937254055832,116.142937435569,23.873761509579,0.806467528081565
"251","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708087629746675,0.695705944814709,0.884578460814689,0.937519820247328,116.128265201862,23.870831411497,0.80647296390585
"252","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707720329786049,0.695850072959151,0.884438498749596,0.937288507261445,116.111937187585,23.8674469192683,0.80632435218906
"253","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707624004685495,0.695893353869347,0.885096103256369,0.937255891704971,116.143685353236,23.8739109413505,0.806467338379045
"254","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708074042367012,0.695694886386774,0.884600411423167,0.93752183728243,116.129037438611,23.8709857232141,0.806472794364846
"255","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.70770659053333,0.695839188553265,0.88446018921282,0.937290395383931,116.112687860625,23.8675968448617,0.806324090920836
"256","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707624153420312,0.695895036630298,0.885097804268133,0.937255322118571,116.143665107606,23.8739074848086,0.806468079109328
"257","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708074189671206,0.695696569950585,0.884602120226323,0.937521270796299,116.129017253021,23.870982280733,0.806473537661103
"258","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707706737971133,0.695840872156693,0.884461897246171,0.937289827172291,116.112667644145,23.8675933957383,0.806324833636572
"259","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707627573404756,0.695908051223277,0.885072936648289,0.93724827488308,116.142956775455,23.8737627223228,0.80646420903985
"260","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708077606230018,0.695709589830549,0.884577275126354,0.937514222917309,116.128309064265,23.8708375516739,0.806469673526058
"261","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707710157310664,0.695853891798697,0.884437049733396,0.937282781587511,116.11195975341,23.867448726768,0.806320970107567
"262","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707624081485152,0.695891621479395,0.885085635302361,0.937255074570827,116.143941260972,23.873959534762,0.806464103209434
"263","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708074486112188,0.695693229056366,0.884590181612139,0.937520963982418,116.129272366861,23.8710302455248,0.806469715190778
"264","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707706807956276,0.695837520713583,0.884449824642484,0.937289539253603,116.112931630794,23.8676430646719,0.806320923141487
"265","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707624230237135,0.69589330441176,0.885087335919377,0.937254504961911,116.143921014675,23.8739560780411,0.806464843882546
"266","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708074633431306,0.695694912790942,0.884591890021031,0.937520397472191,116.12925218068,23.8710268028791,0.806470458428868
"267","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707706955409467,0.695839204487719,0.884451532280594,0.937288971018589,116.112911413535,23.8676396153463,0.806321665799092
"268","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707627650207829,0.695906319819461,0.885062466241759,0.937247457492403,116.14321268245,23.8738113152423,0.806460973440363
"269","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708078049971419,0.695707933482715,0.884567042874531,0.937513349363076,116.12854399252,23.8708820736424,0.806466593922935
"270","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707710374733936,0.695852224941572,0.884426682721753,0.937281925202679,116.112203523139,23.8674949461478,0.806317801899985
"271","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707662779848386,0.695887865293295,0.88515351339092,0.937280126199024,116.142255961991,23.8736480493445,0.806496071182906
"272","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708110661213156,0.695689746434248,0.884656972687802,0.937545672080748,116.12760784114,23.8707221787113,0.806500763103988
"273","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707744638089309,0.695833484771704,0.884518180984935,0.937314584358075,116.11130365897,23.8673429094349,0.806352722051005
"274","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.70766292879298,0.695889544099177,0.885155204326797,0.937279556726329,116.142235734295,23.873644593648,0.806496808486321
"275","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708110808702465,0.695691426027415,0.884658671354963,0.937545105682154,116.127587671645,23.8707187366823,0.806501502941749
"276","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707744785732958,0.695835164404009,0.884519878884101,0.937314016243258,116.111283460044,23.8673394610617,0.806353461316081
"277","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707666346596688,0.695902531111821,0.885130379255433,0.93727251445493,116.141527370573,23.8734998283984,0.806492942854718
"278","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.708114223169045,0.695704418308627,0.884633868711964,0.937538062777217,116.126879452416,23.8705740050765,0.806497643241713
"279","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)",0.707748202903197,0.695848156396481,0.884495073767471,0.937306975605611,116.110575534883,23.8671947887111,0.80634960216819
